FechaEnvio,NumeroFacturaDeCargos,NumeroDePago,CargosTotales,Creditos,MontoDeEnvio,TotalDelEnvio,MontoDelDescuento,CuotasEIncentivos,MontoDePago,IdAfiliacion,Número de establecimiento que envía,SucursalQueEnvia,ConteoDeTransacciones,FechaPago,NombreSucursal,IVA,Descripcion,FechaTransaccion,NumeroDeMensualidades
2026-04-21,107,51130040," 1,027.73", 0.00," 1,027.73"," 1,027.73",( 11.31), 0.00," 1,014.61",8488075888,8488075888,,2,2026-04-27,NOVIA DEL MAR,( 1.81),,2026-04-22,0
2026-04-22,231,51130042," 1,009.64", 0.00," 1,009.64"," 1,009.64",( 11.11), 0.00, 996.75,8488076035,8488076035,,1,2026-04-27,BENITO,( 1.78),,2026-04-22,0
2026-04-22,232,51130042," 2,123.47", 0.00," 2,123.47"," 2,123.47",( 23.36), 0.00," 2,096.37",8488076035,8488076035,,2,2026-04-27,BENITO,( 3.74),,2026-04-22,0
2026-04-22,82,51130282," 1,300.00", 0.00," 1,300.00"," 1,300.00",( 14.30), 0.00," 1,283.41",8489189027,8489189027,,2,2026-04-27,AVENIDA CENTRAL,( 2.29),,2026-04-22,0
2026-04-21,37,51130283, 858.81, 0.00, 858.81, 858.81,( 9.45), 0.00, 847.85,8489189142,8489189142,,1,2026-04-27,CASA DE JUSTICIA,( 1.51),,2026-04-22,0
2026-04-22,136,51130305, 900.19, 0.00, 900.19, 900.19,( 9.90), 0.00, 888.71,8489278671,8489278671,,1,2026-04-27,KIN HA,( 1.58),,2026-04-22,0
2026-04-21,369,51130306," 5,383.83", 0.00," 5,383.83"," 5,383.83",( 59.22), 0.00," 5,315.13",8489278820,8489278820,,2,2026-04-27,FRONTERA,( 9.48),,2026-04-22,0
2026-04-21,1469,31125935," 8,387.61", 0.00," 8,387.61"," 8,387.61",( 92.26), 0.00," 8,280.59",7464542802,7464542802,,8,2026-04-24,BOLICHE,( 14.76),,2026-04-21,0
2026-04-21,1470,31125935," 2,697.27", 0.00," 2,697.27"," 2,697.27",( 29.67), 0.00," 2,662.85",7464542802,7464542802,,3,2026-04-24,BOLICHE,( 4.75),,2026-04-22,0
2026-04-20,66,41126698," 1,451.80", 0.00," 1,451.80"," 1,451.80",( 15.97), 0.00," 1,433.27",8487957920,8487957920,,1,2026-04-24,KANISTE,( 2.56),,2026-04-21,0
2026-04-21,67,41126698, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8487957920,8487957920,,1,2026-04-24,KANISTE,( 0.88),,2026-04-21,0
2026-04-21,106,41126715, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8488075888,8488075888,,1,2026-04-24,NOVIA DEL MAR,( 0.88),,2026-04-21,0
2026-04-21,36,41126925," 2,643.13", 0.00," 2,643.13"," 2,643.13",( 29.07), 0.00," 2,609.41",8489189142,8489189142,,1,2026-04-24,CASA DE JUSTICIA,( 4.65),,2026-04-21,0
2026-04-21,368,41126945," 30,000.00", 0.00," 30,000.00"," 30,000.00",( 330.00), 0.00," 29,617.20",8489278820,8489278820,,1,2026-04-24,FRONTERA,( 52.80),,2026-04-21,0
2026-04-20,1467,31115901," 14,374.47", 0.00," 14,374.47"," 14,374.47",( 158.12), 0.00," 14,191.05",7464542802,7464542802,,13,2026-04-23,BOLICHE,( 25.30),,2026-04-20,0
2026-04-20,1468,31115901," 2,801.11", 0.00," 2,801.11"," 2,801.11",( 30.81), 0.00," 2,765.37",7464542802,7464542802,,4,2026-04-23,BOLICHE,( 4.93),,2026-04-21,0
2026-04-20,49,31117328," 2,049.98", 0.00," 2,049.98"," 2,049.98",( 22.55), 0.00," 2,023.82",7469546899,7469546899,,1,2026-04-23,PUERTO REAL,( 3.61),,2026-04-20,0
2026-04-19,64,41116741," 1,608.02", 0.00," 1,608.02"," 1,608.02",( 17.69), 0.00," 1,587.50",8487957920,8487957920,,2,2026-04-23,KANISTE,( 2.83),,2026-04-20,0
2026-04-20,65,41116741," 2,755.57", 0.00," 2,755.57"," 2,755.57",( 30.31), 0.00," 2,720.41",8487957920,8487957920,,2,2026-04-23,KANISTE,( 4.85),,2026-04-20,0
2026-04-19,114,41116742," 1,177.31", 0.00," 1,177.31"," 1,177.31",( 12.95), 0.00," 1,162.29",8487957953,8487957953,,1,2026-04-23,CHAMPOTON 2,( 2.07),,2026-04-20,0
2026-04-19,104,41116760," 2,270.11", 0.00," 2,270.11"," 2,270.11",( 24.97), 0.00," 2,241.14",8488075888,8488075888,,2,2026-04-23,NOVIA DEL MAR,( 4.00),,2026-04-20,0
2026-04-20,105,41116760, 600.00, 0.00, 600.00, 600.00,( 6.60), 0.00, 592.34,8488075888,8488075888,,1,2026-04-23,NOVIA DEL MAR,( 1.06),,2026-04-20,0
2026-04-20,110,41116762," 1,508.02", 0.00," 1,508.02"," 1,508.02",( 16.59), 0.00," 1,488.78",8488075995,8488075995,,3,2026-04-23,CHETUMAL PLAZA,( 2.65),,2026-04-20,0
2026-04-20,230,41116763, 637.44, 0.00, 637.44, 637.44,( 7.01), 0.00, 629.31,8488076035,8488076035,,1,2026-04-23,BENITO,( 1.12),,2026-04-20,0
2026-04-19,81,41116964," 1,780.30", 0.00," 1,780.30"," 1,780.30",( 19.58), 0.00," 1,757.59",8489189027,8489189027,,2,2026-04-23,AVENIDA CENTRAL,( 3.13),,2026-04-20,0
2026-04-20,35,41116965, 939.08, 0.00, 939.08, 939.08,( 10.33), 0.00, 927.10,8489189142,8489189142,,1,2026-04-23,CASA DE JUSTICIA,( 1.65),,2026-04-20,0
2026-04-20,367,41116988," 1,669.50", 0.00," 1,669.50"," 1,669.50",( 18.36), 0.00," 1,648.20",8489278820,8489278820,,2,2026-04-23,FRONTERA,( 2.94),,2026-04-20,0
2026-04-17,1459,31107354," 1,293.08", 0.00," 1,293.08"," 1,293.08",( 14.22), 0.00," 1,276.58",7464542802,7464542802,,1,2026-04-22,BOLICHE,( 2.28),,2026-04-17,0
2026-04-17,1460,31107354," 6,152.03", 0.00," 6,152.03"," 6,152.03",( 67.67), 0.00," 6,073.53",7464542802,7464542802,,6,2026-04-22,BOLICHE,( 10.83),,2026-04-17,0
2026-04-17,1461,31107354," 6,753.02", 0.00," 6,753.02"," 6,753.02",( 74.28), 0.00," 6,666.85",7464542802,7464542802,,7,2026-04-22,BOLICHE,( 11.89),,2026-04-18,0
2026-04-18,1462,31107354," 9,557.97", 0.00," 9,557.97"," 9,557.97",( 105.14), 0.00," 9,436.01",7464542802,7464542802,,8,2026-04-22,BOLICHE,( 16.82),,2026-04-18,0
2026-04-18,1463,31107354," 1,151.18", 0.00," 1,151.18"," 1,151.18",( 12.66), 0.00," 1,136.49",7464542802,7464542802,,1,2026-04-22,BOLICHE,( 2.03),,2026-04-19,0
2026-04-19,1464,31107354," 2,744.25", 0.00," 2,744.25"," 2,744.25",( 30.19), 0.00," 2,709.23",7464542802,7464542802,,2,2026-04-22,BOLICHE,( 4.83),,2026-04-19,0
2026-04-19,1465,31107354, 600.00, 0.00, 600.00, 600.00,( 6.60), 0.00, 592.34,7464542802,7464542802,,1,2026-04-22,BOLICHE,( 1.06),,2026-04-19,0
2026-04-19,1466,31107354," 1,205.31", 0.00," 1,205.31"," 1,205.31",( 13.26), 0.00," 1,189.93",7464542802,7464542802,,1,2026-04-22,BOLICHE,( 2.12),,2026-04-20,0
2026-04-18,109,31109138," 1,535.36", 0.00," 1,535.36"," 1,535.36",( 16.89), 0.00," 1,515.77",7469540645,7469540645,,1,2026-04-22,CHAMPOTON MALECON,( 2.70),,2026-04-19,0
2026-04-17,47,31109165," 2,757.87", 0.00," 2,757.87"," 2,757.87",( 30.34), 0.00," 2,722.68",7469546899,7469546899,,2,2026-04-22,PUERTO REAL,( 4.85),,2026-04-17,0
2026-04-18,48,31109165," 2,607.83", 0.00," 2,607.83"," 2,607.83",( 28.69), 0.00," 2,574.55",7469546899,7469546899,,2,2026-04-22,PUERTO REAL,( 4.59),,2026-04-18,0
2026-04-16,61,51101211," 1,245.98", 0.00," 1,245.98"," 1,245.98",( 13.71), 0.00," 1,230.08",8487957920,8487957920,,1,2026-04-22,KANISTE,( 2.19),,2026-04-17,0
